directeur	68638,0.034482758620689655;75458,0.009615384615384616
DAM	68638,0.034482758620689655
CEA	68638,0.034482758620689655;68881,0.029411764705882353;70163,0.045454545454545456;70914,0.029411764705882353;72392,0.08;74168,0.0196078431372549;75064,0.07142857142857142
Xavier	68638,0.034482758620689655
Michel	68638,0.034482758620689655
Ecole	68638,0.034482758620689655;73430,0.1;73876,0.024390243902439025
Polytechnique	68638,0.034482758620689655
signant	68638,0.034482758620689655
protocole	68638,0.034482758620689655
accord	68638,0.034482758620689655;72392,0.04
création	68638,0.034482758620689655
IZEST	68638,0.034482758620689655
De	68881,0.029411764705882353;70914,0.029411764705882353
droite	68881,0.029411764705882353;70744,0.022727272727272728;70914,0.029411764705882353;72392,0.04
gauche	68881,0.029411764705882353;70744,0.022727272727272728;70914,0.029411764705882353;72392,0.04
Jean	68881,0.058823529411764705;70744,0.022727272727272728;73876,0.024390243902439025
Lou	68881,0.029411764705882353
Chameau	68881,0.029411764705882353
Président	68881,0.029411764705882353;69177,0.14285714285714285;72113,0.06666666666666667;72114,0.1111111111111111;72629,0.2;73182,0.125;73875,0.2
Caltech	68881,0.029411764705882353
Laurent	68881,0.029411764705882353;70161,0.05405405405405406;75457,0.05
Malier	68881,0.029411764705882353
Leti	68881,0.029411764705882353
Professeur	68881,0.029411764705882353;74454,0.06666666666666667
Michael	68881,0.029411764705882353
Roukes	68881,0.029411764705882353
Kavli	68881,0.029411764705882353
Nanosciences	68881,0.029411764705882353
Institute	68881,0.029411764705882353;72932,0.05555555555555555;76208,0.14285714285714285
Pierre	68881,0.029411764705882353;73876,0.024390243902439025;76213,0.047619047619047616
Braun	68881,0.029411764705882353
général	68881,0.029411764705882353
Analytical	68881,0.029411764705882353
Pixels	68881,0.029411764705882353
Technology	68881,0.029411764705882353;76208,0.14285714285714285
APIX	68881,0.029411764705882353
livre	68882,0.07142857142857142;76213,0.047619047619047616
important	68882,0.07142857142857142
thème	68882,0.07142857142857142
majeur	68882,0.07142857142857142
années	68882,0.07142857142857142
venir	68882,0.07142857142857142
alimentation	68882,0.07142857142857142;76213,0.047619047619047616
durable	68882,0.07142857142857142
VAIMOS	68883,0.1111111111111111;74170,0.25
record	68883,0.05555555555555555
voilier	68883,0.05555555555555555;74170,0.25
3	68883,0.1111111111111111;68886,0.024691358024691357;69821,0.125;75063,0.023809523809523808
65	68883,0.05555555555555555
m	68883,0.05555555555555555;68886,0.25925925925925924;75789,0.1891891891891892
long	68883,0.05555555555555555;70916,0.007042253521126761;75789,0.02702702702702703
poids	68883,0.05555555555555555
300	68883,0.05555555555555555
kg	68883,0.05555555555555555;70165,0.0625
Vue	68886,0.012345679012345678;70424,0.2;70425,0.043478260869565216;72635,0.038461538461538464;73683,0.022222222222222223;74168,0.0196078431372549;75070,0.04;75792,0.05555555555555555
microscope	68886,0.024691358024691357;72119,0.027777777777777776;75070,0.04
exemple	68886,0.012345679012345678
marque	68886,0.012345679012345678
laissée	68886,0.024691358024691357
microfissure	68886,0.024691358024691357
surface	68886,0.012345679012345678;72119,0.027777777777777776;75070,0.04
rupture	68886,0.012345679012345678
rapide	68886,0.024691358024691357
échantillon	68886,0.024691358024691357
Plexiglas	68886,0.024691358024691357
Dimensions	68886,0.024691358024691357
128	68886,0.012345679012345678
micro	68886,0.07407407407407407;70425,0.043478260869565216
137	68886,0.012345679012345678
En	68886,0.024691358024691357;69816,0.012195121951219513;73431,0.009900990099009901
haut	68886,0.012345679012345678
vue	68886,0.012345679012345678;74454,0.06666666666666667
réseau	68886,0.024691358024691357
empreintes	68886,0.012345679012345678
laissées	68886,0.012345679012345678
nucléation	68886,0.012345679012345678
coalescence	68886,0.012345679012345678
microfissures	68886,0.012345679012345678
lors	68886,0.012345679012345678;70163,0.045454545454545456
fracture	68886,0.012345679012345678
2	68886,0.024691358024691357;70165,0.0625
5	68886,0.024691358024691357
mm	68886,0.024691358024691357
x	68886,0.04938271604938271
bas	68886,0.012345679012345678
reconstruction	68886,0.012345679012345678
numérique	68886,0.012345679012345678
observé	68886,0.012345679012345678
Yannick	69177,0.14285714285714285
Escatha	69177,0.14285714285714285
CNES	69177,0.14285714285714285
Insertion	69178,0.058823529411764705
ligne	69178,0.058823529411764705
verticale	69178,0.058823529411764705
accélérateur	69178,0.058823529411764705
Genepi	69178,0.058823529411764705
3C	69178,0.058823529411764705
coeur	69178,0.058823529411764705
réacteur	69178,0.058823529411764705
GUINEVERE	69178,0.058823529411764705
Lancement	69179,0.07692307692307693
Vega	69179,0.15384615384615385
lanceur	69179,0.07692307692307693
son	69179,0.07692307692307693;70420,0.07692307692307693;70916,0.014084507042253521;72119,0.027777777777777776;73185,0.125;75788,0.02631578947368421
vol	69179,0.07692307692307693
qualification	69179,0.07692307692307693
bactérie	69183,0.058823529411764705
Escherichia	69183,0.058823529411764705
coli	69183,0.058823529411764705
marquée	69183,0.058823529411764705
incorporation	69183,0.058823529411764705
KDO	69183,0.058823529411764705
modifié	69183,0.058823529411764705
couplage	69183,0.058823529411764705
avec	69183,0.058823529411764705;69816,0.012195121951219513;70744,0.022727272727272728;73876,0.024390243902439025;74752,0.07692307692307693
molécule	69183,0.058823529411764705;72119,0.027777777777777776
fluorescente	69183,0.058823529411764705
1ère	69541,0.09090909090909091
édition	69541,0.09090909090909091;71612,0.037037037037037035
Journée	69541,0.09090909090909091
Speed	69541,0.09090909090909091
Project	69541,0.09090909090909091
sein	69541,0.09090909090909091;73876,0.024390243902439025;75064,0.07142857142857142;75792,0.05555555555555555
Supméca	69541,0.09090909090909091
rendez	69542,0.07692307692307693
vous	69542,0.07692307692307693
manquer	69542,0.07692307692307693
passionnés	69542,0.07692307692307693
hydravions	69542,0.07692307692307693
ENVISAT	69811,0.08108108108108109
plus	69811,0.02702702702702703;70916,0.007042253521126761;73431,0.009900990099009901
gros	69811,0.02702702702702703
